OS_NAME,WEEK_NUMBER,HIGHEST_REVENUE_BY_OSNAME
Android,22,29.148506098
Android,23,40.121333355
Android,24,36.640121509
Android,25,32.680971189
Android,26,27.264292553
Android,27,29.671066759
Android,28,31.230539405
Android,29,30.889672684
Android,30,34.012326514
Android,31,33.367226378
Android,32,38.039972136
Android,33,44.696869739
Android,34,82.92103339
Android,35,47.241290214
Asha Software,22,16.557434308
Asha Software,23,19.791301251
Asha Software,24,20.210627647
Asha Software,25,17.451431764
Asha Software,26,16.118096681
Asha Software,27,19.321079941
Asha Software,28,19.358221112
Asha Software,29,18.230890214
Asha Software,30,20.415096875
Asha Software,31,18.244255787
Asha Software,32,20.954696394
Asha Software,33,18.886133908
Asha Software,34,19.958500164
Asha Software,35,21.395527239
BADA,22,20.793719093
BADA,23,20.30451981
BADA,24,21.411277639
BADA,25,19.317744286
BADA,26,20.285357517
BADA,27,21.827833346
BADA,28,19.504128001
BADA,29,20.520132371
BADA,30,20.129459028
BADA,31,19.500200781
BADA,32,20.474922132
BADA,33,19.04933185
BADA,34,20.260244682
BADA,35,31.202298419
BELLE,22,17.349710756
BELLE,23,21.934912658
BELLE,24,25.810433268
BELLE,25,23.767982535
BELLE,26,18.959779648
BELLE,27,3.036837975
BELLE,28,18.303669328
BELLE,29,16.456544768
BELLE,30,21.21448755
BELLE,31,17.018292241
BELLE,32,19.894847005
BELLE,33,24.183441331
BELLE,34,30.478824409
BELLE,35,27.517219539
Blackberry OS,22,19.743777457
Blackberry OS,23,12.364116194
Blackberry OS,24,18.285541148
Blackberry OS,25,9.708503764
Blackberry OS,26,15.146654815
Blackberry OS,27,4.487425789
Blackberry OS,28,13.036742839
Blackberry OS,29,8.609431561
Blackberry OS,30,15.126459512
Blackberry OS,31,17.842540536
Blackberry OS,32,14.90872209
Blackberry OS,33,14.308232899
Blackberry OS,34,18.168585233
Blackberry OS,35,26.834933326
ISA,22,15.414164622
ISA,23,20.47052892
ISA,24,18.301982279
ISA,25,18.408027584
ISA,26,12.757930972
ISA,27,19.151461844
ISA,28,13.025458929
ISA,29,18.289750631
ISA,30,15.176458074
ISA,31,24.506233211
ISA,32,22.899344969
ISA,33,23.188843798
ISA,34,41.818428061
ISA,35,66.583668149
LG OS,22,20.004765958
LG OS,23,21.508364484
LG OS,24,27.488763042
LG OS,25,20.643872185
LG OS,26,19.516975234
LG OS,27,24.664790351
LG OS,28,20.083861553
