OS_NAME,WEEK_NUMBER,LOWEST_REVENUE_BY_OSNAME
Android,22,0.1222067333
Android,23,0.2165032195
Android,24,0.1291329916
Android,25,0.1123720403
Android,26,0.0583700964
Android,27,0.06740016469
Android,28,0.0825708454
Android,29,0.06826547127
Android,30,0.07264801833
Android,31,0.2032283434
Android,32,0.01773847164
Android,33,0.06676808678
Android,34,0.1377690079
Android,35,0.126288054
Asha Software,22,1.646364808
Asha Software,23,0.6940375774
Asha Software,24,3.217072276
Asha Software,25,2.648627087
Asha Software,26,0.5860302242
Asha Software,27,1.035717328
Asha Software,28,0.6106926625
Asha Software,29,3.476416463
Asha Software,30,5.740353151
Asha Software,31,0.7648525295
Asha Software,32,5.595891792
Asha Software,33,1.605468502
Asha Software,34,1.992152513
Asha Software,35,1.437261292
BADA,22,0.2414323755
BADA,23,3.785117192
BADA,24,1.252605799
BADA,25,2.89037545
BADA,26,5.104674833
BADA,27,0.5484860391
BADA,28,0.4615375352
BADA,29,3.648554483
BADA,30,1.211768978
BADA,31,2.196970102
BADA,32,3.178881353
BADA,33,1.764618444
BADA,34,4.140698529
BADA,35,2.98353948
BELLE,22,4.697240425
BELLE,23,8.586911101
BELLE,24,0.757394398
BELLE,25,0.9040899792
BELLE,26,2.373685123
BELLE,27,2.941029434
BELLE,28,1.96383696
BELLE,29,11.027653865
BELLE,30,13.356058397
BELLE,31,3.501667623
BELLE,32,3.645785269
BELLE,33,7.007099835
BELLE,34,3.413693348
BELLE,35,3.406829497
Blackberry OS,22,12.943155687
Blackberry OS,23,5.739227423
Blackberry OS,24,15.862223607
Blackberry OS,25,9.708503764
Blackberry OS,26,7.206957646
Blackberry OS,27,0.6115237396
Blackberry OS,28,8.962078661
Blackberry OS,29,8.609431561
Blackberry OS,30,15.126459512
Blackberry OS,31,4.041110392
Blackberry OS,32,10.114079007
Blackberry OS,33,7.372224218
Blackberry OS,34,10.417678941
Blackberry OS,35,18.3750573
ISA,22,1.729771097
