BRAND_NAME,BRAND_CUSTOMER
SAMSUNG,5095
SYMPHONY,3598
NOKIA,2169
HUAWEI,1218
WALTON,1060
XIAOMI,730
ITEL,510
OPPO,440
LAVA,430
APPLE,377
KINGSTAR,267
WINMAX,233
SB TEL,217
LENOVO,200
WINSTAR,199
,190
MICROMAX,161
LITEEL,127
AAMRA,100
LG,85
MAXIMUS,76
WESTERN,71
WALTON DIGI-TECH,66
HTC,63
ASUS,61
TINMO,61
PEACE,56
OKAPIA,53
QMOBILE,42
SONY,41
GREYMARKET,40
LEPHONE,40
VIVO,38
G-PHONE,34
WIKO,30
LINNEX,28
ERICSSON,28
FOUR MOBILE,28
RANGS,28
SMARTA,28
QPHONE,28
AMOI,28
TECNO,28
SONYERICSSON,27
MICROSOFT,27
IMAM TELECOM,27
BLU,26
KECHAO,21
RIYA,20
TITANIC MOBILE,20
ALCATEL,17
HOTWAV,15
XTOUCH,14
BIRD,14
OBI,14
huawei,14
RAJON,14
SKY BLUE,14
AIRMAX,14
DARAGO,14
MAGNUS,14
ZTE,13
PEL MOBILE PHONE,13
AG-TEL,12
IYOU,12
BLACKBERRY,11
BUZZ,11
MOTOROLA,10
TINNO,9
IBRIT,8
OUKITEL,7
JINI,6
SIEMENS,5
REACH TECH,3
