GENDER,WEEK_NUMBER,TOTAL_REVENUE
Female,22,12704.598115196
Female,23,14806.186858235
Female,24,15552.668451582
Female,25,13303.178765013
Female,26,13384.192788172
Female,27,13890.157349763
Female,28,13611.108445514
Female,29,14993.122765348
Female,30,15044.953008937
Female,31,16890.638361234
Female,32,17082.647210934
Female,33,17925.057498119
Female,34,18720.53305954
Female,35,18197.28468426
Male,22,92287.792082827
Male,23,111057.762524414
Male,24,115610.231117238
Male,25,97073.671521303
Male,26,98742.920601972
Male,27,100107.078009728
Male,28,100312.137296753
Male,29,106192.474435155
Male,30,108494.834548978
Male,31,120987.861940867
Male,32,122178.818882194
Male,33,128084.146362831
Male,34,133024.403070594
Male,35,130167.007539288
unknown,22,42482.340610158
unknown,23,51263.25324181
unknown,24,51154.288400199
unknown,25,43642.251321211
unknown,26,44721.110962179
unknown,27,44117.469477426
unknown,28,44097.245282085
unknown,29,47300.113122287
unknown,30,47291.512826674
unknown,31,51710.892651557
unknown,32,52549.668744769
unknown,33,54366.006904941
unknown,34,55839.607966949
unknown,35,55657.238952982
