CUSTOMER_AGE,WEEK_NUMBER,TOTAL_REVENUE
23,22,25.536625044
23,23,25.280378266
23,24,33.765513835
23,25,5.374162436
23,26,12.432303483
23,27,4.816106583
23,28,25.701488918
23,29,20.576263466
23,30,19.464048123
23,31,17.651320544
23,32,23.722523289
23,33,7.868783248
23,34,14.831474555
23,35,22.285342623
24,22,73.888467634
24,23,133.137120001
24,24,188.709036948
24,25,160.620364985
24,26,129.047771961
24,27,119.098496977
24,28,114.259129119
24,29,116.07221183
24,30,79.342977014
24,31,202.751418706
24,32,226.244319351
24,33,206.112316497
24,34,269.237019479
24,35,258.743897026
25,22,448.117705535
25,23,454.601732121
25,24,530.283715692
25,25,461.592324483
25,26,439.044985278
25,27,436.793400483
25,28,419.054513372
25,29,613.132985932
25,30,542.445568982
25,31,765.122508148
25,32,760.982056854
25,33,792.844210895
25,34,879.03998683
25,35,858.331731381
26,22,758.44697637
26,23,1017.444222803
26,24,1010.818058342
26,25,815.91330702
26,26,769.401496495
26,27,867.758069311
26,28,818.105348198
26,29,1001.142663435
26,30,1104.047985654
26,31,1153.466713026
26,32,1346.211243582
26,33,1328.068466344
26,34,1422.591065439
26,35,1460.892796581
27,22,915.870335974
27,23,1298.414572498
27,24,1298.789052903
27,25,1057.098962793
27,26,1172.034620562
27,27,1305.520982166
27,28,1163.629080355
27,29,1314.200509699
27,30,1444.379969213
27,31,1449.217294911
27,32,1619.892257918
27,33,1976.303719152
27,34,1862.1946638
27,35,1707.43254448
28,22,1287.014165801
28,23,1825.726578504
28,24,1867.691757431
28,25,1512.425122688
28,26,1562.029224443
28,27,1569.185612559
28,28,1474.387479293
28,29,1652.510979743
28,30,1586.370131288
28,31,1818.099327807
28,32,2037.759934491
28,33,2202.63781533
28,34,2379.288128741
28,35,2256.914777465
29,22,4647.199590063
29,23,5533.852059859
29,24,5344.548835218
29,25,4837.836571682
29,26,4992.622517209
29,27,5000.028649375
29,28,5006.80756969
29,29,5349.29339509
29,30,5374.788886389
29,31,6088.782296097
29,32,6536.138559781
29,33,6254.414653348
29,34,6302.856015632
29,35,6450.127764583
30,22,4385.166490257
30,23,5514.160095828
30,24,5232.918047767
30,25,4704.017908996
30,26,4541.365294763
30,27,4761.864873997
30,28,4719.098765707
30,29,4740.764717337
30,30,4871.738055505
30,31,5522.53809401
30,32,5816.108642941
30,33,5994.323577902
30,34,6528.7687376
30,35,6149.678545371
31,22,4329.431692718
31,23,5469.709621641
31,24,5814.218029306
31,25,5075.345748836
31,26,4911.690203175
31,27,4985.997561136
31,28,4864.921485865
31,29,5461.676554952
31,30,5280.969530096
31,31,5833.224461802
31,32,5615.67471791
31,33,6078.654504728
31,34,6824.493730903
31,35,6700.627132518
32,22,4159.996619994
32,23,5226.855440334
32,24,5379.378982364
32,25,4414.893085841
32,26,4782.681239657
32,27,4563.145724997
32,28,4685.541107983
32,29,5065.309880702
32,30,4843.990745495
32,31,5555.422601789
32,32,5605.75733506
32,33,5908.732313498
32,34,6162.155429456
32,35,6097.329151247
33,22,4384.882364207
33,23,5350.715796813
33,24,5448.538329801
33,25,4622.733016867
33,26,4612.745529102
33,27,4822.643340871
33,28,4840.748498502
33,29,5157.848739864
33,30,5022.978394972
33,31,6217.118179868
33,32,5653.830884083
33,33,6167.335342833
33,34,6570.57767145
33,35,6484.371947426
34,22,7292.177484307
34,23,8330.709251292
34,24,9040.347198971
34,25,7503.616436153
34,26,7688.653741596
34,27,7411.100307613
34,28,7468.776326545
34,29,8280.383177785
34,30,8242.206638067
34,31,9679.655611518
34,32,9202.156310792
34,33,9778.815929335
34,34,10080.810405417
34,35,9557.438893061
35,22,6939.865541355
35,23,8298.604051105
35,24,8779.512596009
35,25,7124.325878393
35,26,7019.338675105
35,27,7205.484780951
35,28,7414.781680993
35,29,7812.898661651
35,30,8033.511481666
35,31,8805.815255436
35,32,8927.525798451
35,33,9524.686788304
35,34,10065.239181038
35,35,9346.569869936
36,22,6534.267834161
36,23,8108.807304776
36,24,8580.235092833
36,25,7075.803547664
36,26,6942.301766628
36,27,7019.653470857
36,28,6959.609150765
36,29,7519.79059061
36,30,7108.5807138
36,31,8433.884073507
36,32,8695.485156932
36,33,9252.077820398
36,34,9653.422738418
36,35,9659.471006798
37,22,4933.102439947
37,23,6017.601407081
37,24,6461.046377771
37,25,5200.986664613
37,26,5586.421839059
37,27,5652.792277559
37,28,5566.776519618
37,29,6054.593252497
37,30,5949.993676255
37,31,7179.343765583
37,32,6925.728803817
37,33,7076.236978102
37,34,7170.936822269
37,35,7159.27526861
38,22,6523.057842626
38,23,8082.558854234
38,24,8238.543339437
38,25,7145.716964273
38,26,6938.911104488
38,27,6807.769406465
38,28,6930.752474701
38,29,7481.688304972
38,30,7762.485538484
38,31,8358.40188957
38,32,8553.257241279
38,33,8995.730526179
38,34,9164.518626027
38,35,8866.260985067
39,22,4759.54186244
39,23,5778.381188313
39,24,6022.137577836
39,25,5326.854874983
39,26,5050.062989646
39,27,5273.912286084
39,28,5277.389373661
39,29,5230.28249896
39,30,5573.023366584
39,31,6502.112279719
39,32,6259.86182595
39,33,6502.584659983
39,34,7198.160335404
39,35,7113.210880518
40,22,5903.602326713
40,23,7175.796099968
40,24,7415.654650479
40,25,6376.360628531
40,26,6263.470259344
40,27,6450.323607312
40,28,6405.791232006
40,29,6652.012999818
40,30,6836.396403578
40,31,7392.762900616
40,32,7729.509863559
40,33,8011.678175543
40,34,8260.581686967
40,35,8193.581423077
41,22,6442.16851936
41,23,7371.328590776
41,24,7627.043063195
41,25,6797.752544025
41,26,6850.977868603
41,27,6621.439041291
41,28,6944.592549985
41,29,7242.733367784
41,30,7739.319748179
41,31,8671.029318322
41,32,8171.422632971
41,33,8669.164536896
41,34,9012.65410293
41,35,8231.700999896
42,22,4079.447963482
42,23,4876.157006059
42,24,4753.335146408
42,25,3942.942000643
42,26,4354.783874406
42,27,4226.229230783
42,28,4366.171442174
42,29,4638.486980961
42,30,5089.22886293
42,31,5042.661609326
42,32,5057.241028228
42,33,5578.090746818
42,34,5535.139774981
42,35,5231.379269466
43,22,6035.131384614
43,23,7500.641103166
43,24,7724.544012892
43,25,6018.348700455
43,26,6240.108834028
43,27,6567.711463702
43,28,6300.316188204
43,29,6440.693862119
43,30,7239.0761764
43,31,7839.54945627
43,32,7953.303216807
43,33,8263.54114972
43,34,8504.607783162
43,35,8562.108022607
44,22,4339.57408249
44,23,4873.872745837
44,24,5140.819424768
44,25,4274.783431008
44,26,4051.615062745
44,27,4396.928751409
44,28,4379.12548226
44,29,4726.587977533
44,30,4564.184433964
44,31,5027.002424387
44,32,5401.093022034
44,33,5939.272636185
44,34,5500.939654163
44,35,5637.769733227
45,22,4199.981186357
45,23,4694.684453683
45,24,5165.699937197
45,25,4351.067227859
45,26,4318.252021101
45,27,4150.704528501
45,28,4386.940867502
45,29,4830.648093225
45,30,4761.869192065
45,31,5068.494361648
45,32,5140.265522582
45,33,5462.326593087
