MOBILE_TYPE,WEEK_NUMBER,TOTAL_REVENUE
Postpaid,22,1250.227351205
Postpaid,23,1732.524812073
Postpaid,24,1609.53242763
Postpaid,25,1301.106282533
Postpaid,26,1391.130437233
Postpaid,27,1320.315289687
Postpaid,28,1448.369464438
Postpaid,29,1527.135240541
Postpaid,30,1469.262087527
Postpaid,31,1662.519929413
Postpaid,32,1469.667507439
Postpaid,33,1729.448930196
Postpaid,34,1618.586792968
Postpaid,35,1723.159267662
Prepaid,22,146224.503456976
Prepaid,23,175394.677812386
Prepaid,24,180707.655541389
Prepaid,25,152717.995324994
Prepaid,26,155457.09391509
Prepaid,27,156794.38954723
Prepaid,28,156572.121559914
Prepaid,29,166958.575082248
Prepaid,30,169362.038297062
Prepaid,31,187926.873024244
Prepaid,32,190341.467330458
Prepaid,33,198645.761835695
Prepaid,34,205965.957304115
Prepaid,35,202298.371908868
