BRAND_NAME,WEEK_NUMBER,TOTAL_REVENUE
6DEGREE,22,15.720486078
6DEGREE,23,3.278059131
6DEGREE,24,2.79597584
6DEGREE,25,5.91858889
6DEGREE,26,17.718341105
6DEGREE,27,20.133708043
6DEGREE,28,5.091830561
6DEGREE,29,2.835691951
6DEGREE,30,2.836122104
6DEGREE,31,19.482700828
6DEGREE,32,18.93099086
6DEGREE,33,1.256624391
6DEGREE,34,2.746895526
6DEGREE,35,2.124889705
AAMRA,22,551.562503966
AAMRA,23,603.889531207
AAMRA,24,641.610831753
AAMRA,25,459.098853644
AAMRA,26,518.031844156
AAMRA,27,515.636817629
AAMRA,28,572.923592534
AAMRA,29,439.991983126
AAMRA,30,503.86539717
AAMRA,31,626.227125158
AAMRA,32,651.747053068
AAMRA,33,706.371221327
AAMRA,34,667.290058126
AAMRA,35,805.601675536
ACE,22,4.52653389
ACE,23,1.744732922
ACE,24,6.989875116
ACE,25,20.147207777
ACE,26,3.646437344
ACE,27,10.212547411
ACE,28,16.180199039
ACE,29,3.302118129
ACE,30,14.428523066
ACE,31,3.382967242
ACE,32,16.616880843
ACE,33,5.848171084
ACE,34,10.844642263
ACE,35,21.092206113
ACER,22,4.566145562
ACER,23,7.707204842
ACER,24,17.349957303
ACER,25,19.037658564
ACER,26,9.454253855
ACER,28,17.326871414
ACER,29,13.201706265
ACER,30,5.925684729
ACER,31,1.828932616
ACER,32,14.687702041
ACER,33,9.072974371
ACER,34,4.254941771
ACER,35,8.788314488
ADVAN,22,16.136017101
ADVAN,24,14.773494518
ADVAN,25,3.178414572
ADVAN,26,1.054390911
ADVAN,27,5.78630819
ADVAN,28,14.908877906
ADVAN,29,6.462673113
ADVAN,31,5.887034816
ADVAN,32,5.824014188
ADVAN,33,15.938278961
ADVAN,35,1.156610955
ADVANCED CHEMICAL INDUSTRIES LIMITED,22,68.337906402
ADVANCED CHEMICAL INDUSTRIES LIMITED,23,56.276844991
ADVANCED CHEMICAL INDUSTRIES LIMITED,24,73.544350611
ADVANCED CHEMICAL INDUSTRIES LIMITED,25,53.569111445
ADVANCED CHEMICAL INDUSTRIES LIMITED,26,56.548618585
ADVANCED CHEMICAL INDUSTRIES LIMITED,27,77.305219603
ADVANCED CHEMICAL INDUSTRIES LIMITED,28,60.836232205
ADVANCED CHEMICAL INDUSTRIES LIMITED,29,65.299086878
ADVANCED CHEMICAL INDUSTRIES LIMITED,30,53.978541925
ADVANCED CHEMICAL INDUSTRIES LIMITED,31,50.98364507
ADVANCED CHEMICAL INDUSTRIES LIMITED,32,103.760730369
ADVANCED CHEMICAL INDUSTRIES LIMITED,33,80.643801963
ADVANCED CHEMICAL INDUSTRIES LIMITED,34,80.111781132
ADVANCED CHEMICAL INDUSTRIES LIMITED,35,100.659724789
AG-TEL,22,50.870635326
AG-TEL,23,39.244343625
AG-TEL,24,24.789419305
AG-TEL,25,27.881889667
AG-TEL,26,15.534244831
AG-TEL,27,20.75945021
AG-TEL,28,49.118028125
AG-TEL,29,29.195156976
AG-TEL,30,47.72346487
AG-TEL,31,52.462286928
AG-TEL,32,56.39957295
AG-TEL,33,55.293185191
AG-TEL,34,44.291848538
AG-TEL,35,48.223499122
AIRMAX,22,131.224289436
AIRMAX,23,198.983231474
AIRMAX,24,216.661171041
AIRMAX,25,98.047597682
AIRMAX,26,239.893242619
AIRMAX,27,171.306734845
AIRMAX,28,200.209571481
AIRMAX,29,149.006160987
AIRMAX,30,202.906750834
AIRMAX,31,218.186828113
AIRMAX,32,269.23435453
AIRMAX,33,206.582337182
AIRMAX,34,312.057275305
AIRMAX,35,282.959521627
AKASAKI,22,20.793719093
AKASAKI,23,3.785117192
AKASAKI,24,4.18427099
AKASAKI,25,8.379639698
AKASAKI,26,19.145782155
AKASAKI,27,12.528639391
AKASAKI,28,16.103564821
AKASAKI,29,4.333811355
AKASAKI,30,13.902683861
AKASAKI,31,7.11608742
AKASAKI,32,13.581329034
AKASAKI,33,8.386246961
AKASAKI,34,8.33330826
AKASAKI,35,10.176849711
ALCATEL,22,123.410468239
ALCATEL,23,197.417026911
ALCATEL,24,194.558006333
ALCATEL,25,138.096284691
ALCATEL,26,74.857056997
ALCATEL,27,195.69533188
ALCATEL,28,129.674295944
ALCATEL,29,136.801534246
ALCATEL,30,172.127362697
ALCATEL,31,180.440992756
ALCATEL,32,189.486725964
ALCATEL,33,220.466278991
ALCATEL,34,275.836177525
ALCATEL,35,198.565913763
AMOI,22,43.988439842
AMOI,23,25.393412916
AMOI,24,21.572572461
AMOI,25,35.047105441
AMOI,26,6.734034071
AMOI,27,25.816283574
AMOI,28,12.71594729
AMOI,29,32.882045542
AMOI,30,9.798079891
AMOI,31,44.592699365
AMOI,32,39.447360168
AMOI,33,11.183370962
AMOI,34,19.550957388
AMOI,35,42.256268262
ANYCOOL,22,22.915273822
ANYCOOL,23,26.892445742
ANYCOOL,24,15.24537189
ANYCOOL,25,36.788474879
ANYCOOL,26,29.243527815
ANYCOOL,27,37.963669553
ANYCOOL,28,20.496090679
ANYCOOL,29,27.531906004
ANYCOOL,31,37.994328402
ANYCOOL,32,26.425412234
ANYCOOL,33,36.133570172
ANYCOOL,34,28.099890694
ANYCOOL,35,5.860346389
AOLIFENG,26,11.402171526
AOLIFENG,27,12.759691807
AOLIFENG,28,10.375930832
AOLIFENG,29,3.512803978
AOLIFENG,30,5.037353967
AOLIFENG,31,2.014957341
AOLIFENG,32,10.296842251
AOLIFENG,33,1.549478261
AOLIFENG,34,12.456559866
AOLIFENG,35,1.966267235
AOLIXIN,22,17.997839571
AOLIXIN,23,14.65499579
AOLIXIN,24,20.207973119
AOLIXIN,25,20.23293439
AOLIXIN,26,18.315314378
AOLIXIN,27,0.4764876597
AOLIXIN,28,20.089903635
AOLIXIN,29,9.875332161
AOLIXIN,30,7.398040813
AOLIXIN,31,18.582582436
AOLIXIN,32,18.473929765
AOLIXIN,33,14.088177023
AOLIXIN,34,16.541763897
AOLIXIN,35,19.704481543
APPLE,22,1535.177208203
APPLE,23,1844.922827687
APPLE,24,2044.816669132
APPLE,25,1393.139939879
APPLE,26,1615.873415459
APPLE,27,1651.626463629
APPLE,28,1709.456262033
APPLE,29,1811.474180599
APPLE,30,1930.835132544
APPLE,31,1811.742433043
APPLE,32,2084.940217038
APPLE,33,1955.182749453
APPLE,34,2015.597576859
APPLE,35,1976.520862058
ARCHOS,22,7.990822887
ARCHOS,23,4.224904329
ARCHOS,24,7.428880901
ARCHOS,25,10.738880039
ARCHOS,26,17.042366435
ARCHOS,27,8.081240896
ARCHOS,29,15.130754241
ARCHOS,30,1.180478961
ARCHOS,31,11.651877925
ARCHOS,32,15.705808016
ARCHOS,33,14.204419398
ARCHOS,34,17.401656445
ARCHOS,35,19.179663871
ASUS,22,205.804712249
ASUS,23,284.60811443
ASUS,24,297.323841605
ASUS,25,210.881436222
ASUS,26,270.135045127
ASUS,27,232.821388884
