OS_NAME,WEEK_NUMBER,TOTAL_REVENUE
Android,22,62848.867570119
Android,23,77269.383277358
Android,24,80695.980556572
Android,25,65753.920798723
Android,26,66411.577345758
Android,27,68441.521778726
Android,28,67216.522559326
Android,29,74119.965651217
Android,30,75385.850939644
Android,31,85905.734932457
Android,32,86723.121576584
Android,33,91376.509653807
Android,34,94060.51141808
Android,35,92290.588164737
Asha Software,22,90.492138838
Asha Software,23,105.923257862
Asha Software,24,113.757129252
Asha Software,25,85.915746437
Asha Software,26,57.12408644
Asha Software,27,79.510189639
Asha Software,28,112.195059671
Asha Software,29,96.302565443
Asha Software,30,90.406377566
Asha Software,31,50.335877229
Asha Software,32,74.662890734
Asha Software,33,75.085664876
Asha Software,34,103.438817255
Asha Software,35,119.8155074
BADA,22,170.926947579
BADA,23,204.101787397
BADA,24,208.01822537
BADA,25,222.931261677
BADA,26,248.554583858
BADA,27,203.133830592
BADA,28,191.33980695
BADA,29,234.281815312
BADA,30,236.674192698
BADA,31,236.111020983
BADA,32,250.926609087
BADA,33,236.121624278
BADA,34,275.694247949
BADA,35,308.887447437
BELLE,22,78.571213178
BELLE,23,80.172184678
BELLE,24,78.380842397
BELLE,25,66.614038258
BELLE,26,47.701589353
BELLE,27,5.977867409
BELLE,28,25.855328026
BELLE,29,52.56620319
BELLE,30,52.269096715
BELLE,31,41.179600473
BELLE,32,54.818029027
BELLE,33,109.279335408
BELLE,34,94.547257696
BELLE,35,70.1031714
Blackberry OS,22,52.430710601
Blackberry OS,23,23.842571039
Blackberry OS,24,50.009988361
Blackberry OS,25,19.417007527
Blackberry OS,26,29.560570107
Blackberry OS,27,9.586375318
Blackberry OS,28,30.960900161
Blackberry OS,29,17.218863122
Blackberry OS,30,30.252919025
Blackberry OS,31,25.92476132
Blackberry OS,32,39.931523186
Blackberry OS,33,29.052681334
Blackberry OS,34,39.003943115
Blackberry OS,35,72.044923951
ISA,22,51.50170287
ISA,23,100.098451403
ISA,24,79.041209601
ISA,25,74.669494
ISA,26,52.76384231
ISA,27,71.129042888
ISA,28,58.737787806
ISA,29,78.423280024
ISA,30,28.98735233
ISA,31,89.778327804
ISA,32,84.327520812
ISA,33,80.624208322
ISA,34,138.165877545
ISA,35,156.436056104
LG OS,22,242.406244183
LG OS,23,231.938305402
LG OS,24,226.270768713
LG OS,25,226.086767651
LG OS,26,198.740154643
LG OS,27,210.858055515
LG OS,28,159.498886834
LG OS,29,232.034163606
LG OS,30,230.117498975
LG OS,31,253.122213861
LG OS,32,190.596913921
LG OS,33,220.914452899
LG OS,34,208.38497691
LG OS,35,186.646726712
MOCOR OS,22,23.045025155
MOCOR OS,23,23.408788606
MOCOR OS,24,9.660726848
MOCOR OS,25,31.380880265
MOCOR OS,26,30.730624108
MOCOR OS,27,9.021659924
MOCOR OS,28,19.230442618
MOCOR OS,29,12.482488352
MOCOR OS,30,27.323114802
MOCOR OS,31,38.123772118
MOCOR OS,32,27.348756687
MOCOR OS,33,21.122749039
MOCOR OS,34,35.197800153
