BRAND_NAME,WEEK_NUMBER,HIGHEST_REVENUE_BY_BRANDNAME
6DEGREE,22,15.720486078
6DEGREE,23,3.278059131
6DEGREE,24,2.79597584
6DEGREE,25,5.91858889
6DEGREE,26,17.718341105
6DEGREE,27,20.133708043
6DEGREE,28,5.091830561
6DEGREE,29,2.835691951
6DEGREE,30,2.836122104
6DEGREE,31,19.482700828
6DEGREE,32,18.93099086
6DEGREE,33,1.256624391
6DEGREE,34,2.746895526
6DEGREE,35,2.124889705
AAMRA,22,20.768243827
AAMRA,23,24.412476425
AAMRA,24,22.501816911
AAMRA,25,20.519592511
AAMRA,26,20.256330308
AAMRA,27,19.865254508
AAMRA,28,21.27342804
AAMRA,29,21.274217145
AAMRA,30,21.672413671
AAMRA,31,22.677344573
AAMRA,32,22.672506695
AAMRA,33,22.752745875
AAMRA,34,23.529621346
AAMRA,35,22.187328421
ACE,22,4.52653389
ACE,23,1.744732922
ACE,24,6.989875116
ACE,25,20.147207777
ACE,26,3.646437344
ACE,27,10.212547411
ACE,28,16.180199039
ACE,29,3.302118129
ACE,30,14.428523066
ACE,31,3.382967242
ACE,32,16.616880843
ACE,33,5.848171084
ACE,34,10.844642263
ACE,35,21.092206113
ACER,22,4.566145562
ACER,23,7.707204842
ACER,24,17.349957303
ACER,25,19.037658564
ACER,26,9.454253855
ACER,28,17.326871414
ACER,29,13.201706265
ACER,30,5.925684729
ACER,31,1.828932616
ACER,32,14.687702041
ACER,33,9.072974371
ACER,34,4.254941771
ACER,35,8.788314488
ADVAN,22,16.136017101
ADVAN,24,14.773494518
ADVAN,25,3.178414572
ADVAN,26,1.054390911
ADVAN,27,5.78630819
ADVAN,28,14.908877906
ADVAN,29,6.462673113
ADVAN,31,5.887034816
ADVAN,32,5.824014188
ADVAN,33,15.938278961
ADVAN,35,1.156610955
ADVANCED CHEMICAL INDUSTRIES LIMITED,22,18.88538894
ADVANCED CHEMICAL INDUSTRIES LIMITED,23,18.329612928
ADVANCED CHEMICAL INDUSTRIES LIMITED,24,17.349190094
ADVANCED CHEMICAL INDUSTRIES LIMITED,25,13.980091118
ADVANCED CHEMICAL INDUSTRIES LIMITED,26,16.999977595
ADVANCED CHEMICAL INDUSTRIES LIMITED,27,21.501304451
ADVANCED CHEMICAL INDUSTRIES LIMITED,28,19.08346297
ADVANCED CHEMICAL INDUSTRIES LIMITED,29,19.828133451
ADVANCED CHEMICAL INDUSTRIES LIMITED,30,16.734143963
ADVANCED CHEMICAL INDUSTRIES LIMITED,31,13.535561789
ADVANCED CHEMICAL INDUSTRIES LIMITED,32,22.003153723
ADVANCED CHEMICAL INDUSTRIES LIMITED,33,26.573322169
ADVANCED CHEMICAL INDUSTRIES LIMITED,34,18.288187297
ADVANCED CHEMICAL INDUSTRIES LIMITED,35,25.563705562
AG-TEL,22,17.045359189
AG-TEL,23,16.664284316
AG-TEL,24,16.756189907
AG-TEL,25,15.760111071
AG-TEL,26,7.599866144
AG-TEL,27,11.648896504
AG-TEL,28,18.941007213
AG-TEL,29,15.74542171
AG-TEL,30,16.492711691
AG-TEL,31,12.709500891
AG-TEL,32,19.347549288
AG-TEL,33,22.334105379
AG-TEL,34,19.117541904
AG-TEL,35,21.181279831
AIRMAX,22,17.746269747
AIRMAX,23,20.42635263
AIRMAX,24,20.720805422
AIRMAX,25,19.406418815
AIRMAX,26,19.537102311
AIRMAX,27,19.180923293
AIRMAX,28,20.781347993
AIRMAX,29,20.28034556
AIRMAX,30,19.255238732
AIRMAX,31,28.831833326
AIRMAX,32,26.014446557
AIRMAX,33,20.546635816
AIRMAX,34,20.805388856
AIRMAX,35,22.591484149
AKASAKI,22,20.793719093
AKASAKI,23,3.785117192
AKASAKI,24,4.18427099
AKASAKI,25,8.379639698
AKASAKI,26,19.145782155
AKASAKI,27,12.528639391
AKASAKI,28,16.103564821
AKASAKI,29,4.333811355
AKASAKI,30,13.902683861
AKASAKI,31,7.11608742
AKASAKI,32,13.581329034
AKASAKI,33,8.386246961
AKASAKI,34,8.33330826
AKASAKI,35,10.176849711
ALCATEL,22,18.035954142
ALCATEL,23,20.833419212
ALCATEL,24,18.798173113
ALCATEL,25,17.178278869
ALCATEL,26,12.943965313
ALCATEL,27,18.918085614
ALCATEL,28,17.650566392
ALCATEL,29,19.942589885
ALCATEL,30,22.133417681
ALCATEL,31,20.358476807
ALCATEL,32,22.045137215
ALCATEL,33,20.60094552
ALCATEL,34,28.90475213
ALCATEL,35,19.573082483
AMOI,22,21.994219921
AMOI,23,12.696706458
AMOI,24,10.786286231
AMOI,25,17.523552721
AMOI,26,3.367017035
AMOI,27,12.908141787
AMOI,28,6.357973645
AMOI,29,16.441022771
AMOI,30,4.899039945
AMOI,31,22.296349682
AMOI,32,19.723680084
AMOI,33,5.591685481
AMOI,34,9.775478694
AMOI,35,21.128134131
ANYCOOL,22,11.457636911
ANYCOOL,23,13.446222871
ANYCOOL,24,7.622685945
ANYCOOL,25,18.39423744
ANYCOOL,26,14.621763907
ANYCOOL,27,18.981834776
ANYCOOL,28,10.248045339
ANYCOOL,29,13.765953002
ANYCOOL,31,18.997164201
ANYCOOL,32,13.212706117
ANYCOOL,33,18.066785086
ANYCOOL,34,14.049945347
ANYCOOL,35,2.930173194
AOLIFENG,26,11.402171526
AOLIFENG,27,12.759691807
AOLIFENG,28,10.375930832
AOLIFENG,29,3.512803978
AOLIFENG,30,5.037353967
AOLIFENG,31,2.014957341
AOLIFENG,32,10.296842251
AOLIFENG,33,1.549478261
AOLIFENG,34,12.456559866
AOLIFENG,35,1.966267235
AOLIXIN,22,17.997839571
AOLIXIN,23,14.65499579
AOLIXIN,24,20.207973119
AOLIXIN,25,20.23293439
AOLIXIN,26,18.315314378
AOLIXIN,27,0.4764876597
AOLIXIN,28,20.089903635
AOLIXIN,29,9.875332161
AOLIXIN,30,7.398040813
AOLIXIN,31,18.582582436
AOLIXIN,32,18.473929765
AOLIXIN,33,14.088177023
AOLIXIN,34,16.541763897
AOLIXIN,35,19.704481543
APPLE,22,21.624336819
APPLE,23,33.769613888
APPLE,24,44.601977461
APPLE,25,21.014476038
APPLE,26,32.814498225
APPLE,27,27.882043043
APPLE,28,24.7052623
APPLE,29,31.430103495
APPLE,30,34.582465945
APPLE,31,34.647954217
APPLE,32,28.48426177
APPLE,33,35.609733693
APPLE,34,28.891746344
APPLE,35,26.391189018
ARCHOS,22,7.990822887
ARCHOS,23,4.224904329
ARCHOS,24,7.428880901
ARCHOS,25,10.738880039
ARCHOS,26,17.042366435
ARCHOS,27,8.081240896
ARCHOS,29,15.130754241
ARCHOS,30,1.180478961
ARCHOS,31,11.651877925
ARCHOS,32,15.705808016
ARCHOS,33,14.204419398
ARCHOS,34,17.401656445
ARCHOS,35,19.179663871
ASUS,22,20.637523807
ASUS,23,20.252075488
ASUS,24,30.803447397
ASUS,25,20.11242904
ASUS,26,20.509417125
ASUS,27,19.124503791
