BRAND_NAME,WEEK_NUMBER,LOWEST_REVENUE_BY_BRANDNAME
6DEGREE,22,15.720486078
6DEGREE,23,3.278059131
6DEGREE,24,2.79597584
6DEGREE,25,5.91858889
6DEGREE,26,17.718341105
6DEGREE,27,20.133708043
6DEGREE,28,5.091830561
6DEGREE,29,2.835691951
6DEGREE,30,2.836122104
6DEGREE,31,19.482700828
6DEGREE,32,18.93099086
6DEGREE,33,1.256624391
6DEGREE,34,2.746895526
6DEGREE,35,2.124889705
AAMRA,22,0.6097375428
AAMRA,23,0.898619358
AAMRA,24,2.071820309
AAMRA,25,0.8496845938
AAMRA,26,3.249392432
AAMRA,27,0.7701961307
AAMRA,28,0.1707758745
AAMRA,29,1.416141043
AAMRA,30,1.710063865
AAMRA,31,2.46962808
AAMRA,32,0.57164693
AAMRA,33,2.109428857
AAMRA,34,1.767832586
AAMRA,35,0.4157767037
ACE,22,4.52653389
ACE,23,1.744732922
ACE,24,6.989875116
ACE,25,20.147207777
ACE,26,3.646437344
ACE,27,10.212547411
ACE,28,16.180199039
ACE,29,3.302118129
ACE,30,14.428523066
ACE,31,3.382967242
ACE,32,16.616880843
ACE,33,5.848171084
ACE,34,10.844642263
ACE,35,21.092206113
ACER,22,4.566145562
ACER,23,7.707204842
ACER,24,17.349957303
ACER,25,19.037658564
ACER,26,9.454253855
ACER,28,17.326871414
ACER,29,13.201706265
ACER,30,5.925684729
ACER,31,1.828932616
ACER,32,14.687702041
ACER,33,9.072974371
ACER,34,4.254941771
ACER,35,8.788314488
ADVAN,22,16.136017101
ADVAN,24,14.773494518
ADVAN,25,3.178414572
ADVAN,26,1.054390911
ADVAN,27,5.78630819
ADVAN,28,14.908877906
ADVAN,29,6.462673113
ADVAN,31,5.887034816
ADVAN,32,5.824014188
ADVAN,33,15.938278961
ADVAN,35,1.156610955
ADVANCED CHEMICAL INDUSTRIES LIMITED,22,8.473034169
ADVANCED CHEMICAL INDUSTRIES LIMITED,23,2.129849673
ADVANCED CHEMICAL INDUSTRIES LIMITED,24,8.832962974
ADVANCED CHEMICAL INDUSTRIES LIMITED,25,4.744927485
ADVANCED CHEMICAL INDUSTRIES LIMITED,26,13.006689804
ADVANCED CHEMICAL INDUSTRIES LIMITED,27,10.10174584
ADVANCED CHEMICAL INDUSTRIES LIMITED,28,10.440298915
ADVANCED CHEMICAL INDUSTRIES LIMITED,29,0.9290982689
ADVANCED CHEMICAL INDUSTRIES LIMITED,30,0.1899251405
ADVANCED CHEMICAL INDUSTRIES LIMITED,31,2.245375934
ADVANCED CHEMICAL INDUSTRIES LIMITED,32,11.018213312
ADVANCED CHEMICAL INDUSTRIES LIMITED,33,1.532512056
ADVANCED CHEMICAL INDUSTRIES LIMITED,34,3.864651336
ADVANCED CHEMICAL INDUSTRIES LIMITED,35,4.371336494
AG-TEL,22,7.370414288
AG-TEL,23,3.183164641
AG-TEL,24,1.358420835
AG-TEL,25,2.034991317
AG-TEL,26,0.9185731833
AG-TEL,27,3.356485451
AG-TEL,28,14.371743831
AG-TEL,29,2.432270646
AG-TEL,30,5.155172074
AG-TEL,31,5.085303628
AG-TEL,32,5.607687463
AG-TEL,33,3.537160201
AG-TEL,34,3.944552305
AG-TEL,35,4.74659295
AIRMAX,22,5.257066253
AIRMAX,23,11.195770571
AIRMAX,24,6.263412571
AIRMAX,25,1.119114209
AIRMAX,26,3.712221547
AIRMAX,27,8.453505786
AIRMAX,28,2.246791911
AIRMAX,29,1.751672375
AIRMAX,30,0.8466771431
AIRMAX,31,1.674698859
AIRMAX,32,2.023496005
AIRMAX,33,2.288786175
AIRMAX,34,11.01542496
AIRMAX,35,5.779257074
AKASAKI,22,20.793719093
AKASAKI,23,3.785117192
AKASAKI,24,4.18427099
AKASAKI,25,8.379639698
AKASAKI,26,19.145782155
AKASAKI,27,12.528639391
AKASAKI,28,16.103564821
AKASAKI,29,4.333811355
AKASAKI,30,13.902683861
AKASAKI,31,7.11608742
AKASAKI,32,13.581329034
AKASAKI,33,8.386246961
AKASAKI,34,8.33330826
AKASAKI,35,10.176849711
ALCATEL,22,3.001987056
ALCATEL,23,5.977895476
ALCATEL,24,6.365499639
ALCATEL,25,2.21344121
ALCATEL,26,1.702893876
ALCATEL,27,3.584117405
ALCATEL,28,2.083063778
ALCATEL,29,0.5375037119
ALCATEL,30,0.5214784239
ALCATEL,31,1.339293269
ALCATEL,32,0.1842239744
ALCATEL,33,0.532020355
ALCATEL,34,2.808509424
ALCATEL,35,3.178620819
AMOI,22,21.994219921
AMOI,23,12.696706458
AMOI,24,10.786286231
AMOI,25,17.523552721
AMOI,26,3.367017035
AMOI,27,12.908141787
AMOI,28,6.357973645
AMOI,29,16.441022771
AMOI,30,4.899039945
AMOI,31,22.296349682
AMOI,32,19.723680084
AMOI,33,5.591685481
AMOI,34,9.775478694
AMOI,35,21.128134131
ANYCOOL,22,11.457636911
ANYCOOL,23,13.446222871
ANYCOOL,24,7.622685945
ANYCOOL,25,18.39423744
ANYCOOL,26,14.621763907
ANYCOOL,27,18.981834776
ANYCOOL,28,10.248045339
ANYCOOL,29,13.765953002
ANYCOOL,31,18.997164201
ANYCOOL,32,13.212706117
ANYCOOL,33,18.066785086
ANYCOOL,34,14.049945347
ANYCOOL,35,2.930173194
AOLIFENG,26,11.402171526
AOLIFENG,27,12.759691807
AOLIFENG,28,10.375930832
AOLIFENG,29,3.512803978
AOLIFENG,30,5.037353967
AOLIFENG,31,2.014957341
AOLIFENG,32,10.296842251
AOLIFENG,33,1.549478261
AOLIFENG,34,12.456559866
AOLIFENG,35,1.966267235
AOLIXIN,22,17.997839571
AOLIXIN,23,14.65499579
AOLIXIN,24,20.207973119
AOLIXIN,25,20.23293439
AOLIXIN,26,18.315314378
AOLIXIN,27,0.4764876597
AOLIXIN,28,20.089903635
AOLIXIN,29,9.875332161
AOLIXIN,30,7.398040813
AOLIXIN,31,18.582582436
AOLIXIN,32,18.473929765
AOLIXIN,33,14.088177023
AOLIXIN,34,16.541763897
AOLIXIN,35,19.704481543
APPLE,22,0.8418029963
APPLE,23,0.7504632003
APPLE,24,1.039761917
APPLE,25,1.127594036
APPLE,26,0.811066752
APPLE,27,0.1864527715
APPLE,28,1.616806001
APPLE,29,0.5945177142
APPLE,30,1.151025726
APPLE,31,0.9755439347
APPLE,32,1.221638677
APPLE,33,1.013587352
APPLE,34,1.23085138
APPLE,35,0.396908902
ARCHOS,22,7.990822887
ARCHOS,23,4.224904329
ARCHOS,24,7.428880901
ARCHOS,25,10.738880039
ARCHOS,26,17.042366435
ARCHOS,27,8.081240896
ARCHOS,29,15.130754241
ARCHOS,30,1.180478961
ARCHOS,31,11.651877925
ARCHOS,32,15.705808016
ARCHOS,33,14.204419398
ARCHOS,34,17.401656445
ARCHOS,35,19.179663871
ASUS,22,2.00173701
ASUS,23,1.852604001
ASUS,24,1.980435288
ASUS,25,0.5181216969
